"Date.Made.Public","Company","City","State","Type.of.breach","Type.of.organization","Total.Records","Description.of.incident","Information.Source","Source.URL","Year.of.Breach","Latitude","Longitude","X","X.1","X.2","total_records","date","date_next","time","log_time","log_size","flag_train"
"3/2/2010","Open Door Clinic of Greater Elgin","Elgin","Illinois","HACK","MED","260","According to a lawsuit, the clinic stores patient information, including Social Security numbers, addresses, telephone numbers, insurance information and medical history on a file-sharing network. That network is accessible to employees’ personal laptops and home computers. A spreadsheet with information of about 260 of its patients was leaked as a result of the installation and use of file sharing software on computers containing patients’ personally identifiable information.","Dataloss DB","",2010,42.037249,-88.28119,NA,NA,"",260,2010-03-02,2010-03-03,1,0,5.56068163101553,1
"3/3/2010","Small Dog Electronics","Waitsfield","Vermont","HACK","BSR","3,000","After Small Dog began collecting and matching customer donations for Haiti relief efforts, a hacker breached the website and began stealing customer credit card information. The breach lasted from December of 2009 to January of 2010.","Databreaches.net","",2010,44.188889,-72.8125,NA,NA,"",3000,2010-03-03,2010-03-11,8,2.07944154167984,8.00636756765025,1
"3/11/2010","Bennett College","Greensboro","North Carolina","HACK","EDU","1,100","A payroll computer was breached.  Names, Social Security numbers, birth dates, pay rates, and bank transit numbers were exposed.","Databreaches.net","",2010,36.072635,-79.791975,NA,NA,"",1100,2010-03-11,2010-03-13,2,0.693147180559945,7.00306545878646,1
"3/13/2010","Beer and Wine Hobby","Woburn","Massachusetts","HACK","BSR","35,000","Personal information may have been accessed during a breach of Beer and Wine Hobby's computer system.  The personal information included partial credit card numbers.","Databreaches.net","",2010,42.479262,-71.152277,NA,NA,"",35000,2010-03-13,2010-03-13,0.267220668727532,-1.31968048728904,10.4631033404715,1
"3/13/2010","St. Louis Metropolitan Police Department","St. Louis","Missouri","HACK","GOV","24","24 people may have had their personal information compromised following the cyber attack of one computer in the St. Louis Metropolitan Police Department. The attack came through an e-mail. The department’s website was not attacked. The names, addresses and Social Security numbers of the 24 people may have been viewed.","Dataloss DB","",2010,38.646991,-90.224967,NA,NA,"",24,2010-03-13,2010-03-18,5,1.6094379124341,3.17805383034795,1
"3/18/2010","Mary's Pizza Shack","Sonoma","California","HACK","BSO","50","The Plaza location of Mary's Pizza Shack has been identified as the target of Internet hackers who penetrated the restaurant's computer system with a ""logger"" virus that captured credit card numbers at the transaction terminal. Only credit card numbers were taken by the virus, Albano emphasized, no personal identification information, such as Social Security numbers or bank account records were exposed, although VISA and MasterCard debit accounts were apparently raided. Trustwave identified and removed the virus doing the damage.","Dataloss DB","",2010,38.291859,-122.458036,NA,NA,"",50,2010-03-18,2010-03-25,7,1.94591014905531,3.91202300542815,1
"3/25/2010","Yuma Proving Ground","Yuma","Arizona","HACK","GOV","700","A home computer that contained personnel data may have picked up a virus from the Internet.  This breach puts employee names and Social Security numbers at risk.","Databreaches.net","",2010,32.725325,-114.624397,NA,NA,"",700,2010-03-25,2010-03-26,1,0,6.5510803350434,1
"3/26/2010","Griffin Hospital","","CT","HACK","MED","957","Location of breached information: Hacking/IT Incident
Business associate present: No","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf",2010,NA,NA,NA,NA,"",957,2010-03-26,2010-04-09,14,2.63905732961526,6.86380339145295,1
"4/9/2010","Mad Capper Saloon & Eatery","Stillwater","Minnesota","HACK","BSR","200","Police have received about 80 complaints of victims' whose credit cards have been compromised. The police have connected the scam to cards used at the Mad Capper Saloon & Eatery. The owner of the Mad Capper Saloon & Eatery has been cooperating with police, he is frustrated that somehow his 30-year-old business is linked to identity theft. The restaurant's owner, has taken steps to make sure his customers are protected. ""We've looked into our credit card processing. We've looked into our software program -- our routers in the building, We've scanned everything -- combed it with a fine tooth comb and we can't find anything off of it, so its frustrating.""UPDATE (4/10/10): The number of people affected is now nearing 200.","Dataloss DB","",2010,45.0565,-92.822175,NA,NA,"",200,2010-04-09,2010-04-16,7,1.94591014905531,5.29831736654804,1
"4/16/2010","Building Media Inc. (BMI)","Wilmington","Delaware","HACK","BSR","81","A hacking incident exposed customer names and credit card information.","Databreaches.net","",2010,39.745833,-75.546667,NA,NA,"",81,2010-04-16,2010-04-30,14,2.63905732961526,4.39444915467244,1
"4/30/2010","North Country Health Services","Bemidji","Minnesota","HACK","MED","349","The online bill payment website was hacked.  The credit card and debit card account information of customers who paid online was exposed.","PHIPrivacy.net","",2010,47.473611,-94.880278,NA,NA,"",349,2010-04-30,2010-05-15,15,2.70805020110221,5.85507192220243,1
"5/15/2010","Mellow Mushroom","Warner Robins","Georgia","HACK","BSR","2,000","Customers of the Mellow Mushroom eatery had their credit and debit card information hacked sometime around March 11th.  Customers of other merchants have been affected, but a hack of Mellow Mushroom's processor is believed to be the source.","Databreaches.net","",2010,32.60872,-83.638027,NA,NA,"",2000,2010-05-15,2010-05-21,6,1.79175946922805,7.60090245954208,1
"5/21/2010","Tufts University","Medford","Massachusetts","HACK","EDU","2,000","Campus computers with former student files were exposed to a virus.  Over two thousand alumni may have had their Social Security numbers and other information exposed.","Databreaches.net","",2010,42.41843,-71.106164,NA,NA,"",2000,2010-05-21,2010-06-01,11,2.39789527279837,7.60090245954208,1
"6/1/2010","Brew HaHa!","Wilmington","Delaware","HACK","BSR","30","Outdated and improperly managed software caused customer debit and credit cards to be exposed to fraudulent charges.  Between 20 and 30 customers of one bank had fraudulent charges from overseas added to their statements.  It is not known how many other customers were affected.","Databreaches.net","",2010,39.745833,-75.546667,NA,NA,"",30,2010-06-01,2010-06-01,0.386114092543721,-0.951622376653308,3.40119738166216,1
"6/1/2010","University of Louisville Research Foundation, Inc., DBA The Kidney Disease Program","","KY","HACK","MED","708","Location of breached information: Hacking/IT Incident
Business associate present: No","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf",2010,NA,NA,NA,NA,"",708,2010-06-01,2010-06-04,3,1.09861228866811,6.56244409369372,1
"6/4/2010","Digital River Inc.","Eden Prairie","Minnesota","HACK","BSF","200,000","A massive data theft from the e-commerce company Digital River Inc. has led investigators to hackers in India and a 19-year-old in New York who allegedly tried to sell the information to a Colorado marketing firm for half a million dollars. The Eden Prairie company obtained a secret court order last month to block Eric Porat of Brooklyn from selling, destroying, altering or distributing purloined data on nearly 200,000 individuals. Digital River suspects that the information was stolen by hackers in New Delhi, India, possibly with help from a contractor working for Digital River.","Dataloss DB","",2010,44.854686,-93.470786,NA,NA,"",2e+05,2010-06-04,2010-06-05,1,0,12.2060726455302,1
"6/5/2010","Marco's Restaurant","Indianapolis","Indiana","HACK","BSR","500","The encrypted Internet connection of a restaurant was breached by hackers outside of the organization.  Customer credit and debit card information was lost and fraudulently used.","Databreaches.net","",2010,39.768377,-86.158042,NA,NA,"",500,2010-06-05,2010-06-07,2,0.693147180559945,6.21460809842219,1
"6/7/2010","Wal-Mart, Sam's Club ","Bentonville","Arkansas","HACK","BSR","117","During a credit card fraud scheme, a man obtained and misused customer information.  His scheme involved using customer information to impersonate customers and open new lines of store credit in their names.  Total loses amounted to $781,571.80.","Databreaches.net","",2010,36.372854,-94.208817,NA,NA,"",117,2010-06-07,2010-06-09,2,0.693147180559945,4.76217393479776,1
"6/9/2010","Apple Inc., AT&T","Cupertino","California","HACK","BSR","120,000","A security breach has exposed iPad owner information. Dozens of CEOs, military officials, and top politicians may have been affected. They—and every other buyer of the cellular-enabled tablet—could be vulnerable to spam marketing and malicious hacking. The breach exposed the most exclusive email list on the planet, a collection of early-adopter iPad 3G subscribers that includes thousands of A-listers in finance, politics and media, from New York Times Co. CEO Janet Robinson to Diane Sawyer of ABC News to film mogul Harvey Weinstein to Mayor Michael Bloomberg. It even appears that White House Chief of Staff Rahm Emanuel's information was compromised. It doesn't stop there. According to the data given by the web security group that exploited vulnerabilities on the AT&T network, 114,000 user accounts have been compromised, although it's possible that confidential information about every iPad 3G owner in the U.S. has been exposed.UPDATE (01/18/2011): Chat logs of the accused iPad hackers were turned over to investigators.  It appears that two men used an ""account slurper"" to conduct a ""brute force"" attack that lasted five days and extracted data from iPad users who accessed the Internet through AT&T's 3G network.  Each of the two men were charged with one count of conspiracy to access a computer without authorization and one count of fraud.UPDATE (06/23/2011): One of the people responsible for writing the malicious code used to breach AT&T's computer servers pleaded guilty to his part in the attack.UPDATE (11/20/2012): The second person responsible for discovering and exploiting a security weakness was found guilty.  AT&T iPad subscribers had their emails exposed because of the security issue.UPDATE (03/19/2013): One of the conspirators was sentenced to 41 months in prison for identity theft and conspiracy to gain unauthorized access to computers.","Dataloss DB","",2010,37.322998,-122.032182,NA,NA,"",120000,2010-06-09,2010-06-17,8,2.07944154167984,11.6952470217642,1
"6/17/2010","Ocean Lakes High School","Virgina Beach","Virginia","HACK","EDU","11,388","Because of an incorrect security setting, an Ocean Lakes High School student was able to access a temporary file on a server that contained the names, addresses and Social Security numbers of students at 22 schools. The breach was discovered when the student tried to print some of the information in the school library. In addition to names, addresses and Social Security numbers, the student files also contain parent names, phone numbers, class schedules, birth dates and student ID numbers.","Dataloss DB","",2010,36.852926,-75.977985,NA,NA,"",11388,2010-06-17,2010-06-29,12,2.484906649788,9.34031544839793,1
"6/29/2010","Brooklyn Tech High School","Brooklyn","New York","HACK","EDU","2,416","Hackers accessed PSAT information from the school and posted the names, home addresses, citizenship status, and Social Security numbers of students.  The information was discovered on the school's website.","Databreaches.net","",2010,40.65,-73.95,NA,NA,"",2416,2010-06-29,2010-06-29,0.0133903331588954,-4.31322223841642,7.78986855905471,1
"6/29/2010","University of Maine","Orono","Maine","HACK","EDU","4,585","Hackers compromised the personal information of 4,585 students who received services from the school's counseling center. The center provides students with support and mental health services. The information on the servers included names, Social Security numbers and clinical information on every student who sought counseling services from the center between August 8, 2002 and June 21 of this year.","Dataloss DB","",2010,44.883125,-68.671977,NA,NA,"",4585,2010-06-29,2010-06-29,0.382387957070023,-0.961319591318529,8.43054538469057,1
"6/29/2010","Destination Hotels & Resorts","Englewood","Colorado","HACK","BSO","700","Hackers have broken into the payment processing system of Destination Hotels & Resorts, a high-end chain best known for its resort hotels in destinations such as Vail, Colorado; Lake Tahoe, California; and Maui, Hawaii. Destination has uncovered a malicious software program inserted into its credit card processing system from a remote source. Destination Hotels is in the process of notifying victims but will not say how many people have had their credit card numbers stolen. The attackers appear to have hit only point-of-sale processing systems, where credit cards are swiped for purchases. Personal information such as guests' home addresses was not compromised.UPDATE (7/2/10): Around 700 customers were affected nationwide by the hack; including dozens of customers of the Driskill Hotel of Austin, Texas.","Dataloss DB","",2010,39.647765,-104.98776,NA,NA,"",700,2010-06-29,2010-07-14,15,2.70805020110221,6.5510803350434,1
"7/14/2010","Oregon State University","Corvallis","Oregon","HACK","EDU","34,000","A University computer containing personal information of current and former employees was found to be infected by a virus. Employee records from 1999 to 2005 contained Social Security numbers.","Databreaches.net","",2010,44.564566,-123.262044,NA,NA,"",34000,2010-07-14,2010-07-16,2,0.693147180559945,10.4341158035983,1
"7/16/2010","Buena Vista University","Storm Lake","Iowa","HACK","EDU","93,000","Someone gained unauthorized access to a BVU database.  The database contained records of names, Social Security numbers, and driver's license numbers of BVU applicants, current and former students, parents, current and former faculty and staff, alumni and donors. These records go back as far as 1987.","Databreaches.net","",2010,42.645021,-95.199855,NA,NA,"",93000,2010-07-16,2010-07-23,7,1.94591014905531,11.4403547721354,1
"7/23/2010","The University of Texas at Arlington","","TX","HACK","MED","27000","Location of breached information: Hacking/IT Incident
Business associate present: No","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf",2010,NA,NA,NA,NA,"",27000,2010-07-23,2010-07-24,1,0,10.2035921449865,1
"7/24/2010","University of Texas Arlington","Arlington","Texas","HACK","EDU","27,000","Student records dating from 2000 to June 21, 2010 were compromised on a University file server on four separate occasions within the last two years.  The server contained student health center prescription records.","Databreaches.net","",2010,32.735687,-97.108066,NA,NA,"",27000,2010-07-24,2010-07-30,6,1.79175946922805,10.2035921449865,1
"7/30/2010","WellPoint, Inc.","","IN","HACK","MED","31700","Location of breached information: Hacking/IT Incident
Business associate present: No","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf",2010,NA,NA,NA,NA,"",31700,2010-07-30,2010-08-06,7,1.94591014905531,10.3640719598654,1
"8/6/2010","WellPoint, Inc.","Indianapolis","Indiana","HACK","MED","31,700","A hacking or IT incident that occurred or was discovered around November 3, 2009 resulted in the possible exposure of protected health information on a network server.  The incident was reported by HHS on August 6, 2010.","HHS via PHIPrivacy.net","",2010,39.768516,-86.158074,NA,NA,"",31700,2010-08-06,2010-08-09,3,1.09861228866811,10.3640719598654,1
"8/9/2010","University of North Carolina at Greensboro","Greensboro","North Carolina","HACK","EDU","2,300","In June, it was discovered that a University computer from the Speech and Hearing Center was infected with malware.  Around 2,300 people who received services as far back as 1997 may have had their Social Security numbers, addresses, dates of birth, telephone numbers, insurance companies, and insurance ID numbers exposed. Another computer from the Psychology Clinic was discovered to have a similar problem.  Around 240 people were affected; though no Social Security numbers or financial accounts were involved.","Dataloss DB","",2010,36.072635,-79.791975,NA,NA,"",2300,2010-08-09,2010-08-09,0.86969084572047,-0.139617480231776,7.74066440191724,1
"8/9/2010","UNCG Speech and Hearing Center","","NC","HACK","MED","2300","Location of breached information: Hacking/IT Incident
Business associate present: No","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf",2010,NA,NA,NA,NA,"",2300,2010-08-09,2010-08-13,4,1.38629436111989,7.74066440191724,1
"8/13/2010","Doherty Hotel and Convention Center","Clare","Michigan","HACK","BSR","150","Over 150 credit cards used at the Hotel's restaurant were later fraudulently charged. It is believed that the Hotel's database was illegally accessed.","Dataloss DB","",2010,43.81947,-84.768628,NA,NA,"",150,2010-08-13,2010-09-08,26,3.25809653802148,5.01063529409626,1
"9/8/2010","HEI Hospitality (HEI Hotels and Resorts)","Norwalk","Connecticut","HACK","BSR","3,400","A vulnerability was discovered in the information systems of multiple hotels.  Customers who used credit cards between March 25 and April 17 of 2010 may have had their credit card information exposed.","Databreaches.net","",2010,41.117597,-73.407897,NA,NA,"",3400,2010-09-08,2010-09-20,12,2.484906649788,8.13153071060425,1
"9/20/2010","Julie's Place","Tallahassee","Florida","HACK","BSR","100","Around a hundred people reported fraudulent charges to their financial accounts after making purchases at the restaurant.  A hacker exploited knowledge of vulnerabilities in the Aloha POS software used by the restaurant and obtained customer information.  The restaurant changed and upgraded their computer system.","Databreaches.net","",2010,30.438256,-84.280733,NA,NA,"",100,2010-09-20,2010-09-22,2,0.693147180559945,4.60517018598809,1
"9/22/2010","Hana Japanese Sushi Bar and Grill","Natchitoches","Louisiana","HACK","BSR","30","Over 30 cases of credit card fraud were linked to the restaurant.  The computer server is believed to have been hacked in February of 2010.  It appears that the $50,000 in fraudulent credit charges originated from a hacker in Romania.","Databreaches.net","",2010,31.76072,-93.086275,NA,NA,"",30,2010-09-22,2010-09-24,2,0.693147180559945,3.40119738166216,1
"9/24/2010","Wilderness Ridge, Hidden Valley Golf","Lincoln","Nebraska","HACK","BSR","225","At least 225 reports of credit and debit card fraud have been linked to a security breach that exposed the information of customers of the two golf courses.  The affected systems were shutdown.  The time of the security breach is unknown.","Databreaches.net","",2010,40.806862,-96.681679,NA,NA,"",225,2010-09-24,2010-09-27,3,1.09861228866811,5.41610040220442,1
"9/27/2010","University of Oklahoma - Tulsa, Neurology Clinic","","OK","HACK","MED","19200","Location of breached information: Hacking/IT Incident
Business associate present: No","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf",2010,NA,NA,NA,NA,"",19200,2010-09-27,2010-10-11,14,2.63905732961526,9.86266555801587,1
"10/11/2010","University of Oklahoma-Tulsa Neurology Clinic, Neurology Services of Oklahoma, LLC ","Oklahoma City","Oklahoma","HACK","MED","19,264","Malware was discovered on a clinic computer on or around July 28.  Patients who saw Dr. John Cattaneo at the clinic and at his former employer Neurology, LLC were notified of the breach.  Patient names, Social Security numbers, phone numbers, addresses, dates of birth, medical record numbers, lab reports and dates of service were in documents that may have been accessed by the virus.","PHIPrivacy.net","",2010,35.46756,-97.516428,NA,NA,"",19264,2010-10-11,2010-10-15,4,1.38629436111989,9.86599334810855,1
"10/15/2010","University of North Florida","Jacksonville","Florida","HACK","EDU","52,853","A hacker from outside of the country may have accessed applicant information sometime between September 24 and September 29.  The information was mostly recruiting information and may have involved names, ACT and SAT scores, dates of birth and Social Security numbers.","Databreaches.net","",2010,30.332184,-81.655651,NA,NA,"",52853,2010-10-15,2010-10-15,0.34034899668768,-1.07778372697652,10.875269754115,1
"10/15/2010","SW Seattle Orthopaedic and Sports Medicine","","WA","HACK","MED","9493","Location of breached information: Hacking/IT Incident
Business associate present: No","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf",2010,NA,NA,NA,NA,"",9493,2010-10-15,2010-10-27,12,2.484906649788,9.1583099638818,1
"10/27/2010","Houston Independent School District (HISD)","Houston","Texas","HACK","EDU","30,000","The HISD may have experienced a hacking incident over the weekend of October 24.  Employees and students were unable to access the Internet, online classes and email until late Tuesday afternoon.  Payroll information of workers and academic information of students may have been compromised along with other personal information.UPDATE (12/2/10): HISD announced an overhaul of the computer system following the breach. Private employee, vendor and student data dating back 10 years could have been accessed by the hacker. Investigators have determined that the private data of one HISD student was viewed by the hacker.  The investigation is ongoing.","Databreaches.net","",2010,29.762884,-95.383062,NA,NA,"",30000,2010-10-27,2010-10-28,1,0,10.3089526606443,1
"10/28/2010","Emergency Medical Services Bureau","Baton Rouge","Louisiana","HACK","GOV","56,000","The Louisiana Department of Health and Hospitals notified emergency medical technicians that a hacker may have had access to their names, Social Security numbers and other personal information.  The incident occurred on September 17 and a lack of funding for letters and postage caused a delay in notification.","Databreaches.net","",2010,30.450746,-91.154551,NA,NA,"",56000,2010-10-28,2010-10-29,1,0,10.9331069697173,1
"10/29/2010","Southwest Seattle Orthopaedic and Sports Medicine","Burien","Washington","HACK","MED","9,493","A hacking incident may have exposed the personal information of patients on September 4.","HHS via PHIPrivacy.net","",2010,47.470377,-122.346792,NA,NA,"",9493,2010-10-29,2010-10-31,2,0.693147180559945,9.1583099638818,1
"10/31/2010","Robins Airforce Base","Warner Robins","Georgia","HACK","GOV","50","Around 50 employees noticed fraudulent charges on their credit or debit cards after using them on base in August of 2010. Officials became aware of the problem and notified employees within two weeks of the incidents.","Databreaches.net","",2010,32.608611,-83.638056,NA,NA,"",50,2010-10-31,2010-11-04,4,1.38629436111989,3.91202300542815,1
"11/4/2010","American Federation of Television and Radio Artists (AFTRA)","Los Angeles","California","HACK","BSO","2,811","Hackers were able to access the Join Online portion of AFTRA's website.  Hackers may have obtained the names, Social Security numbers, credit card numbers and contact information of people who joined AFTRA online.  People who attempted to join online between September 14 and 29 may have also been affected by the breach.  AFTRA has disabled the Join Online website.  AFTRA's internal membership database and the ""members only"" section of the website were not affected.","Databreaches.net","",2010,34.052234,-118.243685,NA,NA,"",2811,2010-11-04,2010-11-15,11,2.39789527279837,7.94129557090653,1
"11/15/2010","ECS Learning Systems","Bulverde","Texas","HACK","BSR","1,300","On October 15, ECS learned that a hacker had accessed their database of online customer order information.  Names, addresses, telephone numbers, email addresses, and credit or debit card information may have been accessed.  Customers were notified of the breach, but were not offered credit monitoring services or encouraged to cancel their credit and debit cards.","Databreaches.net","",2010,29.743833,-98.453073,NA,NA,"",1300,2010-11-15,2010-11-16,1,0,7.17011954344963,1
"11/16/2010","Monadnock Community Bank","Peterborough","New Hampshire","HACK","BSF","13","At least 13 New Hampshire residents and an unknown number of other U.S. customers were affected by a breach of Monadnock's card processor.  Customer debit card numbers, expiration dates, CVC and PIN offsets may have been exposed.  The Bank believes there is no evidence that the incident is related to a previous incident that occurred in September of 2010.","Databreaches.net","",2010,42.870639,-71.951746,NA,NA,"",13,2010-11-16,2010-11-23,7,1.94591014905531,2.56494935746154,1
"11/23/2010","Triple-C, Inc. (TCI), Triple-S Salud, Inc. (TSS)","San Juan","Puerto Rico","HACK","MED","406,000","An internet database managed by TCI containing information of some people insured by Triple-S Salud, Inc. was accessed by employees of a competitor.  People insured by TSS under the Puerto Rican government's health insurance plan and independent practice associations (IPA) that provided services to those people may have had their information accessed.  The breach was the result of the unauthorized use of one or more active user IDs and passwords for the TCI IPA database. TCI believes that financial information related to IPAs was the target of the attack and not the information of individuals.  Multiple intrusions happened in September. A TCI competitor notified the organization on September 21.","PHIPrivacy.net","",2010,18.466334,-66.105722,NA,NA,"",406000,2010-11-23,2010-12-10,17,2.83321334405622,12.9141084385839,1
"12/10/2010","University of Wisconsin - Madison","Madison","Wisconsin","HACK","EDU","60,000","Some records of people affiliated with UW Madison were hacked into.  The University discovered the breach on October 26 and sent notification to many former students, faculty and staff on November 30.  One of the files had the photo ID of former students with their Social Security numbers embedded in the ID numbers and cardholder names.  Only students enrolled prior to 2008 would have had their Social Security numbers exposed. It is unclear how far back the records date.","Databreaches.net","",2010,43.073052,-89.40123,NA,NA,"",60000,2010-12-10,2010-12-12,2,0.693147180559945,11.0020998412042,1
"12/12/2010","Gawker","New York","New York","HACK","BSO","1,300,000","Hackers gained access to the Site's database.  Staff and user emails and passwords, the site code and staff messages were made accessible to anyone.  The group claiming responsibility calls themselves Gnosis.  Gawker encouraged users to change their passwords after their information was exposed.  This may also mean changing passwords for other sites where users have similar screen names and passwords.  Gnosis claims they had access to the site for a long time and exposed Gawker's information ""because of their outright arrogance.""","Databreaches.net","",2010,40.714353,-74.005973,NA,NA,"",1300000,2010-12-12,2010-12-13,1,0,14.0778748224318,1
"12/13/2010","Gary C. Spinks, DMD, PC","","MD","HACK","MED","1000","Location of breached information: Hacking/IT Incident
Business associate present: No","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf",2010,NA,NA,NA,NA,"",1000,2010-12-13,2010-12-15,2,0.693147180559945,6.90775527898214,1
"12/15/2010","Ohio State University","Columbus","Ohio","HACK","EDU","750,000","Students, professors and other University affiliates were notified that their information may have been accessed by a hacker.  University officials discovered the breach in late October.  Unauthorized individuals logged into an Ohio State server and had access to names, Social Security numbers, dates of birth and addresses of current and former students, faculty, staff, University consultants and University contractors.UPDATE (1/14/11): 517,729 former students and 65,663 current students were affected.  Exact numbers for current and former faculty, staff, consultants and contractors were not given.UPDATE (2/22/2011): As of February 22, OSU was still attempting to find and inform affected individuals of the breach.  Around 226,000 notification letters were mailed to alumni in February.","Databreaches.net","",2010,39.961176,-82.998794,NA,NA,"",750000,2010-12-15,2010-12-16,1,0,13.5278284855125,1
"12/16/2010","Twin America LLC, CitySights NY","New York","New York","HACK","BSO","110,000","On or around October 25 a web programmer discovered that malicious script had been placed on the server.  The script appears to have been uploaded on September 26 and had allowed access to the customer database multiple times between that date and October 19.  Customer names, credit card numbers, credit card expiration dates, CVV2 data, addresses and email addresses may have been exposed.","Databreaches.net","",2010,40.714353,-74.005973,NA,NA,"",110000,2010-12-16,2010-12-17,1,0,11.6082356447746,1
"12/17/2010","deviantART, Silverpop Systems Inc.","Hollywood","California","HACK","BSO","13,000,000","Mirroring the Gawker an McDonald's breaches earlier this month, hackers exposed the email addresses, user names and birth dates of the entire deviantART user database.  Hackers were able to breach deviantART's marketing company Silverpop Systems Inc. Passwords and sensitive information were not exposed, but the breach is expected to increase spam for registered users.","Databreaches.net","",2010,34.09833,-118.32583,NA,NA,"",1.3e+07,2010-12-17,2010-12-22,5,1.6094379124341,16.3804599154258,1
"12/22/2010","Hospital Auxilio Mutuo","Hato Ray","Puerto Rico","HACK","MED","1,000","The Hospital experienced a breach of one or more computers on or around November 19.  The exact nature of the breach was not reported and could have been theft, unauthorized access, hacking, or an IT incident.","HHS via PHIPrivacy.net","",2010,18.429446,-66.060239,NA,NA,"",1000,2010-12-22,2010-12-27,5,1.6094379124341,6.90775527898214,1
"12/27/2010","American Honda Motor Company","Torrance","California","HACK","BSR","4,900,000","A Honda vendor maintaining a customer mailing list for My Acura and Honda's Owner Link websites was hacked.  Names, email addresses, vehicle identification numbers and user IDs may have been exposed.  There is speculation that this breach is connected to a hack of Silverpop that exposed the information of McDonald's and deviantART subscribers.UPDATE (1/24/11): Around 2.2 million Honda customers had their information exposed. Around 2.7 million Acura customers had their email addresses exposed, but names and other information were not breached.","Databreaches.net","",2010,33.835849,-118.340629,NA,NA,"",4900000,2010-12-27,2011-01-06,10,2.30258509299405,15.4047457630809,1
"1/6/2011","Pentagon Federal Credit Union (PenFed)","Alexandria","Virginia","HACK","BSF","514","On December 12, a laptop was found to be infected with malware.  PenFed current and former employees, beneficiaries, current and former members and joint owners may have had their names, Social Security numbers, addresses, credit and debit card numbers, and PenFed account numbers exposed. At least 514 New Hampshire residents were affected, but the total number of affected individuals nationwide was not reported.UPDATE (1/18/11): The breach affected 674 New Hampshire residents and an unknown number of people nationwide.","Databreaches.net","",2011,38.804836,-77.046921,NA,NA,"",514,2011-01-06,2011-01-06,0.482080115471035,-0.729644964073467,6.24222326545517,1
"1/6/2011","Private Dental Practice","Germantown","Maryland","HACK","MED","1,000","The office discovered a hacking incident after the computer system shut down on October 14.  A hacker accessed the computer system and server. Patient names, Social Security numbers, addresses, dates of birth, dental care and X-ray records, dental insurance member numbers and health insurance member numbers may have been exposed.","HHS via PHIPrivacy.net","",2011,39.173162,-77.27165,NA,NA,"",1000,2011-01-06,2011-01-10,4,1.38629436111989,6.90775527898214,1
"1/10/2011","Seacoast Radiology, PA","","NH","HACK","MED","231400","Location of breached information: Hacking/IT Incident
Business associate present: No","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf",2011,NA,NA,NA,NA,"",231400,2011-01-10,2011-01-11,1,0,12.3519030937417,1
"1/11/2011","University of Connecticut, HuskyDirect.com","Storrs","Connecticut","HACK","EDU","18,059","Customers who used their credit cards on UConn's Huskydirect.com sports gear website may have had their personal information exposed in a data security breach.  A hacker was able to access the Huskydirect.com customer database and may have viewed billing information with names, addresses, telephone numbers, credit card numbers, expiration dates, security codes and email addresses.  The Huskydirect.com database is run by an outside vendor.  People who made purchases offline are not at risk.UPDATE (1/31/2011): Some people who were affected by the breach have recently reported fraudulent charges.UPDATE (2/19/2011): Additional details reveal the exact number of names that were on the customer database, the fact that the perpetrator used an administrative password, and the fact that Fandotech, the company that was hosting and managing the site, was not following correct web security procedures.","Databreaches.net","",2011,41.808431,-72.249523,NA,NA,"",18059,2011-01-11,2011-01-12,1,0,9.80139945445234,1
"1/12/2011","Seacoast Radiology","Rochester","New Hampshire","HACK","MED","231,400","On November 12, Seacoast discovered that a server had been breached.  Patient names, Social Security numbers, addresses, phone numbers and other personal information may have been exposed by the breach.  Credit card and other financial information were not exposed.  The estimated number of individuals who received notification is 231,400.  Not all people who received a notification letter were affected.  Patients and people serving as insurance guarantors were affected.  It is believed that the hackers were utilizing Seacoast's bandwidth to play a popular game called Call of Duty: Black Ops.","PHIPrivacy.net","",2011,43.304526,-70.975619,NA,NA,"",231400,2011-01-12,2011-01-12,0.599565825425088,-0.511549509999941,12.3519030937417,1
"1/12/2011","St.Vincent Hospital - Indianapolis","","IN","HACK","MED","1848","Location of breached information: Hacking/IT Incident
Business associate present: No","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf",2011,NA,NA,NA,NA,"",1848,2011-01-12,2011-01-14,2,0.693147180559945,7.52185925220163,1
"1/14/2011","Osceola Medical Center, Hils Transcription Service","Osceola","Wisconsin","HACK","MED","500","The November 25 hack of a Hils Transcription server exposed the health information of 500 patients.","HHS via PHIPrivacy.net","",2011,45.32052,-92.70493,NA,NA,"",500,2011-01-14,2011-01-15,1,0,6.21460809842219,1
